eps_num,iter,critic_loss,actor_loss,csc_samples_neg,csc_samples_pos,train_acc,snap_iter,beta_score,main_critic_loss,main_actor_loss,main_beta_score,main_prox_critic,main_prox_actor,main_avg_prox_coef,tidx,avg_rewards,one_raw_reward
1800,330000,303.30808982849123,-475.1812316894531,200,204,0.7797029702970297,10,1.0,54.268961372375486,-333.3688537597656,0.78730375,1.8004236948490142,0.945477569103241,0.09999999999999998,0,1065.9680096385919,1185.3721076134193
1800,330000,421.38899383544924,-226.69137268066407,200,204,0.7648514851485149,10,1.0,31.82745494842529,-172.96623657226561,0.81975794,2.2291922330856324,0.6249486875534057,0.09999999999999998,1,648.258833923101,634.6928194182748
1850,340000,189.94244194030762,-471.91173095703124,200,204,0.7648514851485149,10,1.0,49.16831634521484,-365.3128771972656,0.81470525,1.8373707151412964,0.7690986502170563,0.09999999999999998,0,1141.642850972229,1089.0554634142297
1850,340000,276.04533233642576,-234.61679382324218,200,204,0.7871287128712872,10,1.0,56.70127017974853,-161.04398071289063,0.747054,2.173452949523926,0.8188205516338348,0.09999999999999998,1,630.5076667996615,665.57365157225
1900,350000,378.3746627807617,-471.582470703125,200,204,0.7945544554455446,10,1.0,68.77754493713378,-398.6276574707031,0.9465998,1.5588502967357636,0.9311110806465149,0.09999999999999998,0,1096.8367271421573,1069.397593211572
1900,350000,313.1169971466064,-235.66846313476563,200,204,0.7698019801980198,10,1.0,45.81541074752808,-173.00381408691408,0.85166997,2.2304033291339875,0.8133261656761169,0.09999999999999998,1,625.3968155490347,715.0582383191461
1950,360000,359.33692321777346,-482.3610412597656,200,204,0.7648514851485149,10,1.0,77.21383804321289,-419.31392333984377,0.9978984,2.021031073331833,0.9905331265926361,0.09999999999999998,0,1106.363916065652,1106.9021814655398
1950,360000,225.51882495880128,-241.15987854003907,200,204,0.7821782178217822,10,1.0,24.06006326675415,-164.28196838378906,0.7748977,1.7947772216796876,0.6654886329174041,0.09999999999999998,1,655.8434184520759,686.2525977248063
2000,370000,174.24711227416992,-492.33095092773436,200,204,0.7772277227722773,10,1.0,46.9908528137207,-381.89338745117186,0.87861365,1.9950134360790253,0.7857859468460083,0.09999999999999998,0,1095.304274600665,1110.9682158147739
2000,370000,422.61063928604125,-245.27796020507813,200,204,0.7673267326732673,10,1.0,57.216885032653806,-144.82419494628905,0.60680676,2.127104887962341,0.793388729095459,0.09999999999999998,1,656.8970610195538,670.6101441576884
2050,380000,256.5261552810669,-498.53790283203125,200,204,0.7425742574257426,10,1.0,50.75183044433594,-350.202216796875,0.7828723,1.7367858135700225,0.892780385017395,0.09999999999999998,0,1123.1655620371143,1162.074857076356
2050,380000,431.0013931274414,-242.62128601074218,200,204,0.7722772277227723,10,1.0,43.98288143157959,-117.80524871826172,0.57289124,1.9659371185302734,0.6915986871719361,0.09999999999999998,1,644.2213424308648,713.7528518684958
2100,390000,426.37586517333983,-497.4011474609375,200,204,0.7648514851485149,10,1.0,72.52543251037598,-451.6115625,0.95071554,1.8015409457683562,0.8367571353912353,0.09999999999999998,0,1096.8507210609216,1114.809843628203
2100,390000,319.02494659423826,-246.7402374267578,200,204,0.8168316831683168,10,1.0,55.0757857131958,-188.82655822753907,0.8688203,1.731211429834366,0.7950258064270019,0.09999999999999998,1,678.4971322982732,715.7892252610666
2150,400000,426.3447359085083,-509.5190368652344,200,204,0.7648514851485149,10,1.0,62.42655395507813,-373.31441772460937,0.84974945,1.9078691828250884,0.821654714345932,0.09999999999999998,0,1144.5857410204035,1169.4156754568317
2150,400000,353.26020965576174,-256.63312377929685,200,204,0.7623762376237624,10,1.0,31.69226324081421,-128.50461791992188,0.5311329,2.0032972913980482,0.7234572446346283,0.09999999999999998,1,715.2245837271226,731.8032054213885
2200,410000,234.15045413970947,-505.4792541503906,200,204,0.7623762376237624,10,1.0,65.05857189178467,-394.8473168945313,0.8942481,1.832823041677475,0.8883384764194489,0.09999999999999998,0,1127.4424254312257,1124.7054930407126
2200,410000,229.4561508178711,-254.72535400390626,200,204,0.7722772277227723,10,1.0,26.736293487548828,-159.30254150390624,0.6988022,2.1741438412666323,0.5580658268928528,0.09999999999999998,1,684.2890339136442,732.3056869304066
2250,420000,226.89701309204102,-517.37255859375,200,204,0.7871287128712872,10,1.0,65.51404312133789,-410.84568481445314,0.8987533,2.1690395045280457,0.9214716064929962,0.09999999999999998,0,1137.448356415527,1190.4007775896841
2250,420000,331.0878475189209,-263.9708251953125,200,204,0.7425742574257426,10,1.0,47.573721427917484,-181.8713916015625,0.76106447,1.8997965121269227,0.9038086175918579,0.09999999999999998,1,720.4382820306904,748.8809434576312
2300,430000,284.8895969390869,-516.4131591796875,200,204,0.7623762376237624,10,1.0,74.1175604248047,-462.9894189453125,0.9111034,1.9697448265552522,0.9219918084144593,0.09999999999999998,0,1179.527490095961,1185.8469074561192
2300,430000,324.3418827056885,-263.9388092041016,200,204,0.7747524752475248,10,1.0,21.501403121948243,-153.83049560546874,0.6034919,2.7454163420200346,0.5392183697223664,0.09999999999999998,1,680.3920860544522,723.3459094161572
2350,440000,481.20540924072264,-515.5062683105468,200,204,0.7425742574257426,10,1.0,100.66967460632324,-480.0010034179688,0.9858564,1.9536153888702392,0.9754539597034454,0.09999999999999998,0,1208.6096604512998,1148.7274405695566
2350,440000,450.6215171813965,-269.64478454589846,200,204,0.7747524752475248,10,1.0,73.55426811218261,-168.55801513671875,0.79012877,2.5429691243171693,0.9004795360565185,0.09999999999999998,1,700.7704544772572,746.8331628406522
2400,450000,399.83189849853517,-517.1306274414062,200,204,0.7747524752475248,10,1.0,47.62205879211426,-268.8004449462891,0.58005345,2.26697215795517,0.8358194375038147,0.09999999999999998,0,1149.0604135910214,1178.1738835899312
2400,450000,448.6106071472168,-275.44712829589844,200,204,0.7871287128712872,10,1.0,31.46108299255371,-133.80213317871093,0.61505556,2.03737149477005,0.8878820586204529,0.09999999999999998,1,729.9623829805423,787.5706916834591
2450,460000,424.45217247009276,-521.0316955566407,200,204,0.75,10,1.0,69.60305450439454,-419.2786437988281,0.8305588,1.8625474488735199,0.8495074605941773,0.09999999999999998,0,1166.8973816865337,1181.676305676774
2450,460000,439.1627529144287,-282.86461181640624,200,204,0.8044554455445545,10,1.0,45.13446285247803,-139.29906646728514,0.5335221,1.7629573118686677,0.8564809727668762,0.09999999999999998,1,742.4169375796029,807.8497302483424
2500,470000,218.04713592529296,-524.4662963867188,200,204,0.745049504950495,10,1.0,53.361810188293454,-454.6807653808594,0.961405,2.1409788298606873,0.867763364315033,0.09999999999999998,0,1179.4026720111374,1200.189582568492
2500,470000,470.9659049987793,-281.786865234375,200,204,0.8267326732673267,10,1.0,39.99722665786743,-147.80385223388672,0.50386924,2.7973203110694884,0.6298493802547455,0.09999999999999998,1,721.93883222881,776.8021403712894
2550,480000,261.8797462463379,-530.6463012695312,200,204,0.7772277227722773,10,1.0,54.06772331237793,-373.72017456054687,0.73530805,2.025840436220169,0.8258456265926362,0.09999999999999998,0,1185.0815608061287,1253.8855743688039
2550,480000,472.0807655334473,-298.36566772460935,200,204,0.7970297029702971,10,1.0,34.265870590209964,-133.80434356689454,0.5180861,2.325106506347656,0.7436514532566071,0.09999999999999998,1,790.6613835838651,846.2415388564183
2600,490000,315.0794563293457,-533.7746704101562,200,204,0.7673267326732673,10,1.0,52.088359336853024,-334.825986328125,0.71369493,2.122505053281784,0.7662315189838409,0.09999999999999998,0,1202.7523800819613,1220.511837860404
2600,490000,261.22018508911134,-296.0675842285156,200,204,0.8415841584158416,10,1.0,104.65164031982422,-144.62353485107423,0.5822454,2.296617339849472,1.0169958794116973,0.09999999999999998,1,736.144932665071,848.0157336340711
2650,500000,308.0443519592285,-522.8486450195312,200,204,0.7747524752475248,10,1.0,75.91506546020508,-587.7595068359375,1.1731496,1.7808726406097413,0.9134729373455047,0.09999999999999998,0,1235.2758200662615,1160.0984975426227
2650,500000,127.18111381530761,-296.8616516113281,200,204,0.7772277227722773,10,1.0,49.98350814819336,-215.6666796875,0.8601405,2.5619560647010804,0.928797447681427,0.09999999999999998,1,793.8841068616407,777.9118187263706
2700,510000,290.38363609313967,-530.50791015625,200,204,0.7376237623762376,10,1.0,50.95119525909424,-411.53321655273436,0.82554644,1.8562421262264253,0.7317626214027405,0.09999999999999998,0,1229.8626728317786,1248.3766161522506
2700,510000,405.2447910308838,-313.0112609863281,200,204,0.8242574257425742,10,1.0,56.133673973083496,-131.28723205566405,0.40453702,1.9213320446014404,0.8096907794475555,0.09999999999999998,1,747.6639690444249,873.2357604455487
2750,520000,227.12569732666014,-536.6392822265625,200,204,0.7425742574257426,10,1.0,45.697158622741696,-405.0546606445312,0.7937005,2.1194590735435486,0.8435866641998291,0.09999999999999998,0,1203.803263362604,1240.1535936519977
2750,520000,360.34074716567994,-303.56654052734376,200,204,0.754950495049505,10,1.0,35.619210987091066,-173.18270874023438,0.6141045,2.4302486324310304,0.6763636136054992,0.09999999999999998,1,717.757263323458,793.8125617421066
2800,530000,559.7328567504883,-544.2556640625,200,204,0.7376237623762376,10,1.0,55.148020820617674,-369.52925659179687,0.73145396,4.123706154823303,1.0116883575916291,0.09999999999999998,0,1229.937825102672,1321.685906782922
2800,530000,420.1666679382324,-314.5220703125,200,204,0.7871287128712872,10,1.0,37.53768569946289,-182.47877746582031,0.6614782,2.033104586601257,0.7654618382453918,0.09999999999999998,1,814.7779766259234,863.099541202526
2850,540000,239.6552661895752,-552.3131469726562,200,204,0.7821782178217822,10,1.0,57.18621688842774,-388.3133239746094,0.8465937,2.0255681598186492,0.8210885381698608,0.09999999999999998,0,1242.2772339356834,1333.9187401210427
2850,540000,262.6187324523926,-321.3297424316406,200,204,0.7945544554455446,10,1.0,53.516085929870606,-178.86089477539062,0.59586406,2.233769676685333,0.9149449169635773,0.09999999999999998,1,761.4787271350921,861.0468564346293
2900,550000,415.31687927246094,-550.6242065429688,200,204,0.7846534653465347,10,1.0,56.23124301910401,-364.5707470703125,0.7554771,1.8583445954322815,0.81395214676857,0.09999999999999998,0,1220.5540353337292,1312.9775149907011
2900,550000,281.2746374130249,-327.12058715820314,200,204,0.806930693069307,10,1.0,19.956873216629027,-164.05170776367189,0.49005228,2.6197506737709046,0.616991001367569,0.09999999999999998,1,794.1131952616627,841.8100141021833
2950,560000,234.13242835998534,-543.4909301757813,200,204,0.745049504950495,10,1.0,47.93212356567383,-405.49364379882815,0.838377,2.3742709398269652,0.763205726146698,0.09999999999999998,0,1204.6501554273427,1274.5971948523204
2950,560000,455.34485721588135,-329.05859375,200,204,0.8193069306930693,10,1.0,91.43256649017334,-203.2869714355469,0.6811242,2.0074571001529695,0.8235442960262298,0.09999999999999998,1,825.2478886120912,900.9276586566607
3000,570000,161.09025993347169,-553.7041381835937,200,204,0.7599009900990099,10,1.0,50.32122573852539,-369.18791137695314,0.7685223,2.3790148544311522,0.8319439756870269,0.09999999999999998,0,1263.9862581195318,1310.316111642982
3000,570000,209.1175521850586,-330.95192260742186,200,204,0.7970297029702971,10,1.0,22.0974635887146,-155.42914245605468,0.52453816,1.9392679303884506,0.5574725496768952,0.09999999999999998,1,703.7705696190081,851.1298488365994
3050,580000,221.9919589996338,-548.4532470703125,200,204,0.7524752475247525,10,1.0,73.4950170135498,-549.710166015625,1.1301371,1.9847755736112596,0.909332993030548,0.09999999999999998,0,1225.338827929814,1284.7905108303437
3050,580000,455.39632415771484,-341.17962036132815,200,204,0.806930693069307,10,1.0,18.2155149269104,-103.14009948730468,0.33611006,3.080106091499329,0.4743743586540222,0.09999999999999998,1,846.4758310995543,889.8423589295
3100,590000,363.4079586029053,-544.9796020507813,200,204,0.7623762376237624,10,1.0,80.50676528930664,-493.8497619628906,0.9721731,2.0643322002887725,1.1727366137504578,0.09999999999999998,0,1251.9991963782245,1289.5866789076204
3100,590000,405.25670623779297,-339.1619445800781,200,204,0.7821782178217822,10,1.0,34.63665643692016,-169.4763427734375,0.54943717,2.6035019767284395,0.6402814328670502,0.09999999999999998,1,853.2329822558672,879.1111678345518
3150,600000,378.5666221618652,-544.0283569335937,200,204,0.7698019801980198,10,1.0,60.95747802734375,-438.3271545410156,0.8964016,1.8626283198595046,0.9853318846225738,0.09999999999999998,0,1270.4507000095632,1288.7235121153778
3150,600000,237.00629501342775,-345.8609924316406,200,204,0.8044554455445545,10,1.0,33.585894680023195,-149.14651489257812,0.53000957,2.3316845870018006,0.7496272432804107,0.09999999999999998,1,852.3050358777356,898.7012294311055
3200,610000,305.5800592422485,-557.9917846679688,200,204,0.7425742574257426,10,1.0,71.67814575195312,-404.517900390625,0.85764587,2.175917237997055,0.9070145642757416,0.09999999999999998,0,1245.2604789724069,1348.2608066565456
3200,610000,523.3153667449951,-346.30078125,200,204,0.7920792079207921,10,1.0,66.69813713073731,-204.8886846923828,0.67942756,4.182882826328278,0.7060217797756195,0.09999999999999998,1,758.7263246749898,900.571708084801
