actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-73.80422344207764,200,70800,28.24145859718323,504,363.21958150088284,200.0,363.219582,66,70800,153,70800
-74.26223274230956,200,71200,26.915052065849306,506,592.99734643794,200.0,592.997346,66,71200,154,71200
-75.55735176086426,200,71600,28.22847454547882,508,593.7897528374173,200.0,593.789753,66,71600,155,71600
-75.78098731994629,200,72000,28.12865336894989,510,243.06786175783694,200.0,243.067862,66,72000,156,72000
-74.93399597167969,200,72400,27.71136342525482,512,256.5567242298287,200.0,256.556724,66,72400,157,72400
-76.20461326599121,200,72800,28.777041063308715,514,305.7798499868626,200.0,305.77985,66,72800,158,72800
-75.85856704711914,200,73200,29.91336489200592,516,383.859037859524,200.0,383.859038,66,73200,159,73200
-77.36049766540528,200,73600,28.88535134315491,518,570.6508746144692,200.0,570.650875,66,73600,160,73600
-77.55074188232422,200,74000,31.307953271865845,520,486.57622965313277,200.0,486.57623,66,74000,161,74000
-78.24724761962891,200,74400,30.81439027786255,522,295.6402492676459,200.0,295.640249,66,74400,162,74400
-78.16020942687989,200,74800,30.086071157455443,524,245.77961457368679,200.0,245.779615,66,74800,163,74800
-78.2980950164795,200,75200,30.967490763664244,526,542.7942974333928,200.0,542.794297,66,75200,164,75200
-79.93281059265136,200,75600,30.42337300300598,528,517.1375229254201,200.0,517.137523,66,75600,165,75600
-79.40802627563477,200,76000,32.38283211708069,530,250.95801280413184,200.0,250.958013,66,76000,166,76000
-79.70085258483887,200,76400,31.56136905670166,532,314.3098821476052,200.0,314.309882,66,76400,167,76400
-80.97106315612793,200,76800,32.09674541473389,534,368.7754392580562,200.0,368.775439,66,76800,168,76800
-81.69517219543457,200,77200,32.503086500167846,536,521.8561128934605,200.0,521.856113,66,77200,169,77200
-82.1648867034912,200,77600,32.388438091278076,538,297.7701263011152,200.0,297.770126,66,77600,170,77600
-82.48964157104493,200,78000,32.14508269309997,540,317.6334345590251,200.0,317.633435,66,78000,171,78000
-83.40277412414551,200,78400,34.20684032440185,542,248.06974410092155,200.0,248.069744,66,78400,172,78400
-84.53582527160644,200,78800,33.54281325817108,544,446.66090517506973,200.0,446.660905,66,78800,173,78800
-85.15200660705567,200,79200,33.54562667369842,546,312.08266032013114,200.0,312.08266,66,79200,174,79200
-84.92380401611328,200,79600,33.27846570968628,548,266.14202704493715,200.0,266.142027,66,79600,175,79600
-85.65521118164062,200,80000,34.48409596443176,550,319.36923767018254,200.0,319.369238,66,80000,176,80000
-86.1939503479004,200,80400,32.92371328353882,552,499.6916691143942,200.0,499.691669,65,80400,177,80400
-87.13557579040527,200,80800,36.233529567718506,554,620.7540677433055,200.0,620.754068,65,80800,178,80800
-87.18366233825684,200,81200,35.12999527931213,556,438.74195255375736,200.0,438.741953,65,81200,179,81200
-88.7535294342041,200,81600,36.010014390945436,558,494.44477526108454,200.0,494.444775,65,81600,180,81600
