Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.95876646,0.49926487,137.8732,13.78732,414.50174,103.09098,-293.0731,285.24783,156.9764,633.4714,-5.757443,292.85464,154.22563,647.05396,44.19212,0.7504128,2.897347,19.977356,-8.372825,0.0009780638,0.9698977,3.4950385,-3.4874234,-0.6567285,0.11195953,-0.22035223,-1.0685247,0.38876924,0.1761519,163.52721279923057,117.43323145031849,136.60590586379143,42000,42400,0,118.93834601005074,9.860611259005964,2.185644485289231,130.98460175434593,2760.0894770289306,20
0.4207259,0.4845273,49.841995,4.9841995,136.40793,42.469353,-272.8596,274.28766,124.50253,532.75073,11.424399,273.93195,124.5917,528.34375,10.684175,-0.096442014,2.388524,11.859877,-9.950731,0.0422073,0.8398738,4.4389,-2.9568982,-0.649555,0.09686816,-0.2827661,-1.0742552,0.45075265,0.18514904,147.25324054704328,47.81960620229758,159.4159629506041,44000,44400,0,121.04000472207554,9.430156146991067,2.1277241409989074,132.5978850100655,2893.0609623511555,21
0.24306197,0.44840163,31.521149,3.1521149,420.32263,163.30676,-320.108,327.6802,70.61339,534.3849,162.92744,328.01657,73.13064,535.9456,173.08034,-0.7632763,2.2482738,7.414391,-10.198809,-0.030200958,0.74961615,3.0201805,-3.3460147,-0.6401568,0.09472874,-0.26159284,-1.0607647,0.071951926,0.22282133,318.2497762327454,390.97264265192723,151.01708099651802,46000,46400,0,120.11541606998071,9.804804123006761,2.3219742387300357,132.2421944317175,3025.1766456168843,22
0.056372423,0.5281786,38.40051,3.840051,371.57532,182.97472,-275.15793,285.36786,117.85321,602.35345,34.17972,284.59308,119.62088,596.63776,19.049343,-0.74258244,2.2496343,9.00722,-7.7461233,0.053683944,0.757094,2.8268719,-2.705977,-0.629421,0.09209342,-0.24976519,-0.99701786,0.8113678,0.22163129,-8.82033371591615,13.15653651282788,180.01104390006327,48000,48400,0,121.313534438028,9.677664262009785,2.168812199146487,133.16001089918427,3158.3661007821793,23
0.6943859,0.5156309,159.39722,15.939722,696.2378,193.66963,-327.8302,307.78323,164.86551,646.65234,-49.634705,322.8026,157.73833,636.95844,15.377186,0.6562239,3.0158365,14.967122,-9.138788,-0.03141764,0.9953987,3.8566194,-4.0880084,-0.6229525,0.12108459,-0.17306212,-1.0838851,0.36635104,0.18482879,12.600895374711943,13.960041637962197,175.85661030755898,50000,50400,0,120.47406701301225,9.707303715054877,2.413362876861356,132.59473360492848,3290.5507374709705,24
0.34687206,0.43828487,69.2659,6.92659,139.27203,48.753834,-330.05472,325.99582,131.69888,569.44104,-75.80274,329.73746,133.0286,566.57367,-76.59238,-0.5601605,2.247225,7.6654673,-8.696842,0.022822332,0.7877018,3.0159583,-3.007577,-0.63971806,0.101104945,-0.25513077,-1.1283369,0.5107908,0.21521239,206.50762088258452,193.33624608607764,131.27136885161818,52000,52400,0,123.24365786206909,9.297395334928297,2.223136360058561,134.76418955705594,3425.5645712388214,25
0.37817276,0.52311724,66.86985,6.686985,157.44537,49.008278,-418.38977,414.19464,161.55795,672.20087,-96.04754,419.09024,162.72646,669.1849,-90.00377,-0.040706586,2.4578042,10.584095,-10.363735,0.019054156,0.8577098,3.1966832,-3.1850297,-0.6509636,0.10564858,-0.2878413,-1.2016083,0.2044617,0.20262417,24.73872940371146,-87.06341634654066,205.72304800136362,54000,54400,0,119.18127725098748,9.54720939300023,2.246832760050893,130.9753194040386,3556.185421322938,26
0.51391417,0.5640588,53.39759,5.3397593,155.52696,56.638428,-399.89804,397.31903,146.10175,637.97095,-86.63175,402.23715,147.38899,632.9297,-48.283688,-0.11388753,2.3699832,11.028093,-11.168531,0.023113167,0.84003615,2.9165082,-3.2818737,-0.6361524,0.105824806,-0.23234172,-1.2236308,0.13592263,0.19834748,20.415000706707737,-51.54287497241112,214.88450726526446,56000,56400,0,120.49594041297678,9.192943318048492,2.1960975732654333,131.8849813042907,3688.2630173470825,27
0.681132,0.4747323,86.063576,8.606358,180.977,57.01724,-376.12823,370.24155,194.55441,708.4665,-115.91154,376.33728,192.75746,708.8544,-108.071175,-0.1338853,2.5168912,9.25208,-11.300167,0.0305933,0.8710994,3.3554816,-2.8615222,-0.60900384,0.113522924,-0.2009471,-1.1347908,0.58038205,0.21371272,202.06373948445454,202.47846534276155,141.68315809266437,58000,58400,0,118.85428295005113,9.385906362091191,2.1788909600581974,130.41908027220052,3818.7305490763392,28
0.45231476,0.4980147,49.689835,4.9689837,119.60898,48.94473,-349.191,345.3864,136.17366,577.9909,-85.66092,349.98737,137.03275,583.375,-74.9685,-0.59820545,2.2663958,7.707178,-9.621679,-0.00027903914,0.7993294,2.9860373,-2.6926527,-0.6179933,0.10477302,-0.22228378,-1.1421385,0.66661745,0.2203056,205.57736703153498,129.10381111723976,172.88415989883708,60000,60400,0,121.57183302007616,9.434559319051914,2.2674713026499376,133.273863641778,3952.2894039342646,29
0.6558822,0.6081393,80.27225,8.027225,207.2667,56.15533,-412.70978,405.64322,187.90884,713.924,-82.40038,413.96866,186.82271,701.3056,-72.146515,-0.14315532,2.5091674,8.693938,-8.109792,-0.003122658,0.8739748,3.1743684,-3.409234,-0.59862286,0.11409091,-0.19657409,-1.0513552,0.054420006,0.1522709,361.2867494259191,376.804635777805,176.91623643923185,62000,62400,0,120.58176126796752,9.719756864011288,2.3847263636998832,132.6862444956787,4085.1432350778487,30
